Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2000','Oklahoma','Liver and Intrahepatic Bile Duct','5','4.3','5.8','177','3454365'
'2000','Oregon','Liver and Intrahepatic Bile Duct','4.3','3.6','5','153','3429708'
'2000','North Carolina','Liver and Intrahepatic Bile Duct','4.1','3.7','4.6','323','8081614'
'2000','North Dakota','Liver and Intrahepatic Bile Duct','3.9','2.6','5.7','27','642023'
'2000','New Hampshire','Liver and Intrahepatic Bile Duct','3.9','2.9','5.2','48','1239882'
'2000','New Jersey','Liver and Intrahepatic Bile Duct','5.7','5.2','6.2','497','8430621'
'2000','Montana','Liver and Intrahepatic Bile Duct','3.3','2.3','4.7','32','903773'
'2000','Mississippi','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'2000','Minnesota','Liver and Intrahepatic Bile Duct','3.6','3','4.1','169','4933692'
'2000','Missouri','Liver and Intrahepatic Bile Duct','4.3','3.8','4.9','253','5607285'
'2000','New York','Liver and Intrahepatic Bile Duct','6.2','5.9','6.6','1204','19001780'
'2000','New Mexico','Liver and Intrahepatic Bile Duct','6.2','5.1','7.5','107','1821204'
'2000','District of Columbia','Liver and Intrahepatic Bile Duct','6.3','4.4','8.8','35','572046'
'2000','Louisiana','Liver and Intrahepatic Bile Duct','6.4','5.7','7.2','271','4471885'
'2000','Texas','Liver and Intrahepatic Bile Duct','6.4','6','6.8','1120','20944499'
'2000','Nevada','Liver and Intrahepatic Bile Duct','6.5','5.3','7.7','120','2018741'
'2000','California','Liver and Intrahepatic Bile Duct','6.7','6.4','7','2010','33987977'
'2000','Alaska','Liver and Intrahepatic Bile Duct','7.4','4.9','10.7','31','627963'
'2001','North Dakota','Liver and Intrahepatic Bile Duct','2.5','1.5','4','18','639062'
'2001','Montana','Liver and Intrahepatic Bile Duct','3.1','2.1','4.5','31','906961'
'2001','Utah','Liver and Intrahepatic Bile Duct','2.9','2.2','3.9','49','2283715'
'2001','Tennessee','Liver and Intrahepatic Bile Duct','3.1','2.6','3.5','178','5750789'
'2001','Maryland','Liver and Intrahepatic Bile Duct','4.7','4.1','5.3','243','5374691'
'2001','Maine','Liver and Intrahepatic Bile Duct','4','3','5.1','58','1285692'
'2001','Kentucky','Liver and Intrahepatic Bile Duct','3.6','3','4.2','147','4068132'
'2001','Indiana','Liver and Intrahepatic Bile Duct','4.3','3.8','4.8','262','6127760'
'2001','Idaho','Liver and Intrahepatic Bile Duct','3.4','2.4','4.5','41','1319962'
'2001','Illinois','Liver and Intrahepatic Bile Duct','5.1','4.7','5.5','619','12488445'
'2001','Florida','Liver and Intrahepatic Bile Duct','5.1','4.8','5.4','1018','16356966'
'2001','Georgia','Liver and Intrahepatic Bile Duct','3.8','3.4','4.3','268','8377038'
'2001','Connecticut','Liver and Intrahepatic Bile Duct','4.7','4','5.4','174','3432835'
'2001','Delaware','Liver and Intrahepatic Bile Duct','5.5','4','7.3','45','795699'
'2001','District of Columbia','Liver and Intrahepatic Bile Duct','5.3','3.6','7.6','30','574504'
'2001','Colorado','Liver and Intrahepatic Bile Duct','4.4','3.7','5.1','170','4425687'
'2001','Arkansas','Liver and Intrahepatic Bile Duct','3.2','2.5','3.9','90','2691571'
'2001','Arizona','Liver and Intrahepatic Bile Duct','4.7','4.1','5.3','251','5273477'
'2001','Alabama','Liver and Intrahepatic Bile Duct','4','3.5','4.7','187','4467634'
'2001','Mississippi','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'2001','Missouri','Liver and Intrahepatic Bile Duct','4.1','3.6','4.7','244','5641142'
'2001','Minnesota','Liver and Intrahepatic Bile Duct','3.5','3','4','167','4982796'
'2001','Michigan','Liver and Intrahepatic Bile Duct','4.8','4.4','5.2','476','9991120'
'2001','Massachusetts','Liver and Intrahepatic Bile Duct','5.5','4.9','6','364','6397634'
'2001','South Dakota','Liver and Intrahepatic Bile Duct','4.3','3','5.9','36','757972'
'2001','South Carolina','Liver and Intrahepatic Bile Duct','4.2','3.6','4.9','170','4064995'
'2001','Pennsylvania','Liver and Intrahepatic Bile Duct','4.6','4.3','5','655','12298970'
'2001','Rhode Island','Liver and Intrahepatic Bile Duct','5.6','4.3','7.1','64','1057142'
'2001','Oregon','Liver and Intrahepatic Bile Duct','3.7','3.1','4.4','134','3467937'
'2001','Ohio','Liver and Intrahepatic Bile Duct','4.2','3.8','4.6','501','11387404'
'2001','Oklahoma','Liver and Intrahepatic Bile Duct','4.2','3.5','4.9','150','3467100'
'2001','North Carolina','Liver and Intrahepatic Bile Duct','3.7','3.3','4.1','295','8210122'
'2001','Nevada','Liver and Intrahepatic Bile Duct','4.2','3.4','5.2','86','2098399'
'2001','New Hampshire','Liver and Intrahepatic Bile Duct','3.6','2.7','4.9','46','1255517'
'2001','New Jersey','Liver and Intrahepatic Bile Duct','6','5.5','6.5','530','8492671'
'2001','Nebraska','Liver and Intrahepatic Bile Duct','3.4','2.6','4.4','62','1719836'
'2001','Wyoming','Liver and Intrahepatic Bile Duct','1.7','0.7','3.4','Data Suppressed','494657'
'2001','West Virginia','Liver and Intrahepatic Bile Duct','3.9','3.1','4.8','83','1801481'
'2001','Wisconsin','Liver and Intrahepatic Bile Duct','4.6','4.1','5.3','258','5406835'
'2001','Virginia','Liver and Intrahepatic Bile Duct','3.2','2.8','3.7','224','7198362'
'2001','Washington','Liver and Intrahepatic Bile Duct','5','4.4','5.6','287','5985722'
'2001','Vermont','Liver and Intrahepatic Bile Duct','4.5','3','6.5','29','612223'
'2001','Louisiana','Liver and Intrahepatic Bile Duct','6.3','5.5','7.1','266','4477875'
'2001','New York','Liver and Intrahepatic Bile Duct','6.3','6','6.7','1240','19082838'
'2001','New Mexico','Liver and Intrahepatic Bile Duct','6.5','5.3','7.7','116','1831690'
'2001','Texas','Liver and Intrahepatic Bile Duct','6.6','6.3','7','1204','21319622'
'2001','California','Liver and Intrahepatic Bile Duct','7.3','7','7.6','2227','34479458'
'2001','Iowa','Liver and Intrahepatic Bile Duct','3','2.5','3.7','99','2931997'
'2001','Kansas','Liver and Intrahepatic Bile Duct','3','2.4','3.7','82','2702162'
'2001','Hawaii','Liver and Intrahepatic Bile Duct','10.1','8.5','12','131','1225948'
'2001','Alaska','Liver and Intrahepatic Bile Duct','9.6','6.6','13.3','42','633714'
'2002','Hawaii','Liver and Intrahepatic Bile Duct','8.8','7.3','10.6','117','1239613'
'2002','Utah','Liver and Intrahepatic Bile Duct','2.6','1.9','3.5','46','2324815'
'2002','Tennessee','Liver and Intrahepatic Bile Duct','2.9','2.5','3.4','173','5795918'
'2002','North Dakota','Liver and Intrahepatic Bile Duct','2.8','1.7','4.3','20','638168'
'2002','Nevada','Liver and Intrahepatic Bile Duct','5.4','4.4','6.5','114','2173791'
'2002','New Hampshire','Liver and Intrahepatic Bile Duct','4.4','3.3','5.8','55','1269089'
'2002','Nebraska','Liver and Intrahepatic Bile Duct','3.7','2.8','4.7','66','1728292'
'2002','Mississippi','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'2002','Missouri','Liver and Intrahepatic Bile Duct','4.5','4','5.1','270','5674825'
'2002','Montana','Liver and Intrahepatic Bile Duct','4','2.9','5.5','40','911667'
