Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2001','Idaho','Lung and Bronchus','52.3','48.3','56.6','631','1319962'
'2001','Hawaii','Lung and Bronchus','47.6','43.9','51.5','617','1225948'
'2001','North Dakota','Lung and Bronchus','55.2','49.7','61','385','639062'
'2001','Minnesota','Lung and Bronchus','58.3','56.2','60.6','2774','4982796'
'2001','Arizona','Lung and Bronchus','61.7','59.6','63.8','3307','5273477'
'2001','California','Lung and Bronchus','59.1','58.2','59.9','17588','34479458'
'2001','Kansas','Lung and Bronchus','64.9','61.9','68','1781','2702162'
'2001','Iowa','Lung and Bronchus','66.4','63.6','69.3','2190','2931997'
'2001','Maryland','Lung and Bronchus','66.6','64.4','68.9','3390','5374691'
'2001','Montana','Lung and Bronchus','70.7','65.5','76.2','692','906961'
'2001','New Jersey','Lung and Bronchus','68.2','66.5','69.9','6046','8492671'
'2001','New Hampshire','Lung and Bronchus','69','64.4','73.8','848','1255517'
'2001','Nevada','Lung and Bronchus','79.7','75.7','83.8','1558','2098399'
'2001','North Carolina','Lung and Bronchus','69.6','67.7','71.4','5602','8210122'
'2001','Oklahoma','Lung and Bronchus','85.8','82.8','88.9','3098','3467100'
'2001','Ohio','Lung and Bronchus','77.2','75.6','78.8','9222','11387404'
'2001','Oregon','Lung and Bronchus','72.1','69.3','75','2560','3467937'
'2001','Rhode Island','Lung and Bronchus','72','67.2','77.1','832','1057142'
'2001','Pennsylvania','Lung and Bronchus','71.4','70','72.8','10341','12298970'
'2001','South Carolina','Lung and Bronchus','76.3','73.6','79','3106','4064995'
'2001','Tennessee','Lung and Bronchus','69.7','67.6','71.9','4083','5750789'
'2001','Texas','Lung and Bronchus','70.9','69.6','72.1','12374','21319622'
'2001','Washington','Lung and Bronchus','72','69.8','74.3','3977','5985722'
'2001','West Virginia','Lung and Bronchus','93.7','89.6','97.8','2027','1801481'
'2001','Massachusetts','Lung and Bronchus','72.8','70.7','74.8','4876','6397634'
'2001','Michigan','Lung and Bronchus','74.9','73.2','76.6','7405','9991120'
'2001','Missouri','Lung and Bronchus','76.5','74.3','78.8','4550','5641142'
'2001','Mississippi','Lung and Bronchus','null','null','null','Data Suppressed','null'
'2001','Alabama','Lung and Bronchus','77.9','75.4','80.5','3644','4467634'
'2001','Alaska','Lung and Bronchus','74.4','65.3','84.2','283','633714'
'2001','Arkansas','Lung and Bronchus','83.3','80.1','86.7','2444','2691571'
'2001','District of Columbia','Lung and Bronchus','73','66','80.4','406','574504'
'2001','Delaware','Lung and Bronchus','75.6','69.8','81.8','623','795699'
'2001','Connecticut','Lung and Bronchus','68.7','66.1','71.5','2546','3432835'
'2001','Georgia','Lung and Bronchus','77.9','75.8','80','5381','8377038'
'2001','Florida','Lung and Bronchus','75.7','74.6','76.9','15841','16356966'
'2001','Illinois','Lung and Bronchus','73.2','71.7','74.8','8794','12488445'
'2001','Indiana','Lung and Bronchus','82.3','80','84.6','4984','6127760'
'2001','Kentucky','Lung and Bronchus','103.6','100.6','106.8','4284','4068132'
'2001','Maine','Lung and Bronchus','82','77.5','86.8','1199','1285692'
'2001','Louisiana','Lung and Bronchus','82.9','80.1','85.7','3505','4477875'
'2001','Colorado','Lung and Bronchus','56.3','53.9','58.9','2019','4425687'
'2001','Nebraska','Lung and Bronchus','63.2','59.6','67.1','1123','1719836'
'2001','New York','Lung and Bronchus','65.4','64.3','66.6','12809','19082838'
'2001','South Dakota','Lung and Bronchus','59.9','54.7','65.5','487','757972'
'2001','Vermont','Lung and Bronchus','64.6','58.5','71.1','412','612223'
'2001','Virginia','Lung and Bronchus','60.5','58.7','62.4','4109','7198362'
'2001','Wisconsin','Lung and Bronchus','64.8','62.7','67','3589','5406835'
'2002','Utah','Lung and Bronchus','29.5','26.9','32.2','485','2324815'
